[2025-05-28T17:21:13.570849200] Restart Game
[2025-05-28T17:21:21.107225600] Initializing game with board size: 10
[2025-05-28T17:21:25.078296100] Random magic element chosen: ICE
[2025-05-28T17:21:25.237901800] Random magic element chosen: ICE
[2025-05-28T17:21:25.248311600] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.248814400] Random magic element chosen: ICE
[2025-05-28T17:21:25.248814400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252014400] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.252014400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: ACID
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (8, 2) = 7
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (8, 4) = 5
[2025-05-28T17:21:28.483269500] Calculated distance between (9, 8) and (8, 6) = 3
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (8, 7) = 2
[2025-05-28T17:21:28.484270400] jjjsees Dragon at (8, 7)
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 0) = 17
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 1) = 16
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (8, 9) = 2
[2025-05-28T17:21:28.484270400] jjjsees Wall at (8, 9)
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 2) = 15
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 3) = 14
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 6) = 11
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 7) = 10
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (0, 9) = 10
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 1) = 7
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 3) = 5
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 4) = 4
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 5) = 3
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 6) = 2
[2025-05-28T17:21:28.484270400] jjjsees PowerPotion at (9, 6)
[2025-05-28T17:21:28.484270400] Calculated distance between (9, 8) and (9, 7) = 1
